MMSI,MID,Received_Time,Vessel_Name,Latitude,Longitude,Course_Over_Ground_COG,Speed_Over_Ground_SOG,IMO_Number,Longitude_Second,Latitude_Second,_True_Heading_HDG,_Beam ,Destination,Destination,Ship_Type
416004865,Taiwan (Province of China),20/02/2025 16:03:56,HSIANG PERNG NO.212,22.5968,120.2817,64.9,0,,120? 16.904' E,22? 35.805' N,,7,45,,
416005437,Taiwan (Province of China),20/02/2025 16:03:56,SOLARIS 2,22.582,120.2939,360,0,0,120? 17.632' E,22? 34.922' N,511,8,20,HYDRO SURVEY@@@@@@@@,Vessel-Engaged in dredging or underwater operations
510069000,Micronesia (Federated States of),20/02/2025 16:03:56,QUEEN ISABELLA 88,22.6135,120.2719,258.2,0,0,120? 16.315' E,22? 36.807' N,302,30,15,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416015927,Taiwan (Province of China),20/02/2025 16:03:56,KAO 506,22.6138,120.2881,183.4,0,0,120? 17.286' E,22? 36.828' N,511,15,40,KHH@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
667001736,Sierra Leone,20/02/2025 16:03:56,HUA HANG,22.6138,120.287,0,0,8864282,120? 17.221' E,22? 36.830' N,511,12,71,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416003885,Taiwan (Province of China),20/02/2025 16:03:57,SHING FU,22.6184,120.2699,166.1,5.3,0,120? 16.194' E,22? 37.105' N,163,0,0,@@@@@@@@@@@@@@@@@@@@,Passenger-all ships of this type
416006264,Taiwan (Province of China),20/02/2025 16:03:58,POLARIS III,22.5837,120.2941,155.2,0,9533971,120? 17.649' E,22? 35.022' N,60,14,49,TWKHH               ,not available or no ship (default)
373302000,Panama (Republic of),20/02/2025 16:03:59,SUNNINE 3,22.5859,120.2964,298.5,0,9246293,120? 17.784' E,22? 35.152' N,329,27,174,KAOHSIUNG           ,Cargo-all ships of this type
416005452,Taiwan (Province of China),20/02/2025 16:03:59,CHUNG YU NO.22,22.5845,120.3008,40,0,9814571,120? 18.050' E,22? 35.072' N,50,16,75,KAOSHIUNG           ,Tanker-all ships of this type
416003923,Taiwan (Province of China),20/02/2025 16:03:59,KAO NO.112,22.5943,120.2886,227.3,1,0,120? 17.318' E,22? 35.655' N,511,14,89,KOH                 ,Tug
563245300,Singapore (Republic of),20/02/2025 16:03:59,EVER MOST,22.5468,120.2811,267,8.7,,120? 16.865' E,22? 32.809' N,267,,,,
544113120,Nauru (Republic of),20/02/2025 16:03:59,EASTERN STAR,22.597,120.2855,237.3,0,8996097,120? 17.130' E,22? 35.822' N,511,14,89,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416004697,Taiwan (Province of China),20/02/2025 16:04:00,KAO 505,22.6102,120.2726,134.6,0,967097500,120? 16.358' E,22? 36.614' N,145,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
416006752,Taiwan (Province of China),20/02/2025 16:04:00,TA YU,22.5946,120.2911,316.7,0,0,120? 17.464' E,22? 35.678' N,339,13,60,KINMEN              ,Cargo-all ships of this type
306406000,Netherlands Antilles,20/02/2025 16:04:00,XING YUN 101,22.595,120.2833,125.6,0,0,120? 16.998' E,22? 35.697' N,225,8,29,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416000018,Taiwan (Province of China),20/02/2025 16:04:00,FORMOSA NO.8,22.5997,120.2826,360,0,0,120? 16.958' E,22? 35.979' N,511,11,28,TW_KHH              ,Tug
416247700,Taiwan (Province of China),20/02/2025 16:04:00,HAI YAO,22.5927,120.2874,360,0,0,120? 17.246' E,22? 35.562' N,511,7,35,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416000095,Taiwan (Province of China),20/02/2025 16:04:00,YIN LIAN,22.5964,120.2899,154.6,0.1,0,120? 17.392' E,22? 35.783' N,356,11,76,LONG MEN - KAOHSIUNG,Cargo-all ships of this type
677040400,Tanzania (United Republic of),20/02/2025 16:04:00,HUNG CHENG,22.6139,120.2835,23.8,0,8864335,120? 17.011' E,22? 36.831' N,511,10,58,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
511101274,Palau (Republic of),20/02/2025 16:04:01,HONG LI,22.6034,120.2822,57.7,0.1,9036894,120? 16.929' E,22? 36.203' N,511,13,74,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416005003,Taiwan (Province of China),20/02/2025 16:04:01,HUNG YU NO.1,22.5468,120.3121,334.6,0,0,120? 18.726' E,22? 32.806' N,511,33,80,@@@@@@@@@@@@@@@@@@@@,Other type of ship-all ships of this type
677040400,Tanzania (United Republic of),20/02/2025 16:04:01,HUNG CHENG,22.6139,120.2835,23.8,0,8864335,120? 17.011' E,22? 36.831' N,511,10,58,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416001900,Taiwan (Province of China),20/02/2025 16:04:01,YUAN TAI NO.806,22.5666,120.3133,360,0,790066300,120? 18.801' E,22? 33.998' N,511,0,0,SINGAPORE@@@@@@@@@@@,Cargo-all ships of this type
416008845,Taiwan (Province of China),20/02/2025 16:04:01,TRITON1,22.594,120.2861,168.1,0,9495894,120? 17.167' E,22? 35.638' N,511,10,34,@@@@@@@@@@@@@@@@@@@@,Port tender
667001467,Sierra Leone,20/02/2025 16:04:01,VINCENT 2,22.6023,120.2829,311.3,0.1,9121039,120? 16.974' E,22? 36.135' N,141,17,107,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416005048,Taiwan (Province of China),20/02/2025 16:04:01,TIPM NO.13402,22.5462,120.3002,3.8,8.9,0,120? 18.011' E,22? 32.769' N,511,10,35,@@@@@@@@@@@@@@@@@@@@,Tug
416126600,Taiwan (Province of China),20/02/2025 16:04:02,YU DING N0 303,22.5857,120.3039,360,0,0,120? 18.232' E,22? 35.144' N,511,9,35,@@@@@@@@@@@@@@@@@@@@,Tug
416004191,Taiwan (Province of China),20/02/2025 16:04:02,SEAGREEN NO15,22.5959,120.2843,360,0,9406295,120? 17.057' E,22? 35.751' N,511,40,55,TW KHH 1508W        ,Vessel-Towing
416002974,Taiwan (Province of China),20/02/2025 16:04:02,DONG LIAN NO.8,22.5963,120.2998,349.1,0,0,120? 17.990' E,22? 35.775' N,511,2,14,@@@@@@@@@@@@@@@@@@@@,Tug
416011751,Taiwan (Province of China),20/02/2025 16:04:03,SHENG YI FA168,22.5925,120.2871,273.1,0,0,120? 17.226' E,22? 35.550' N,511,8,37,KHH                 ,Vessel=Fishing
416006765,Taiwan (Province of China),20/02/2025 16:04:03,VENTUS XINGANG,22.5996,120.2816,360,0,990981900,120? 16.896' E,22? 35.976' N,235,0,0,KHH                 ,Vessel-Pleasure craft
416008937,Taiwan (Province of China),20/02/2025 16:04:03,TIPM NO.15003,22.586,120.2946,148.4,3.3,0,120? 17.678' E,22? 35.161' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Tug
576638000,Vanuatu (Republic of),20/02/2025 16:04:03,LONGBOW NO.7,22.603,120.2862,13.7,0,8956683,120? 17.172' E,22? 36.183' N,511,9,46,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
235102681,United Kingdom of Great Britain and Northern Ireland,20/02/2025 16:04:03,EVER LOADING,22.5334,120.317,259.4,0,,120? 19.021' E,22? 32.006' N,143,,,,
416004261,Taiwan (Province of China),20/02/2025 16:04:03,YU CHIN NO.302,22.5855,120.3031,0,0,0,120? 18.186' E,22? 35.132' N,511,9,29,@@@@@@@@@@@@@@@@@@@@,Vessel-Towing
416005047,Taiwan (Province of China),20/02/2025 16:04:04,TIPM NO.13401,22.5338,120.303,283.9,0,0,120? 18.180' E,22? 32.027' N,511,10,35,@@@@@@@@@@@@@@@@@@@@,Tug
457601000,Mongolia,20/02/2025 16:04:04,MACRO,22.5999,120.2816,205.4,0,0,120? 16.894' E,22? 35.993' N,511,2,2,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416005691,Taiwan (Province of China),20/02/2025 16:04:04,SEN KOH NO.8,22.5861,120.2925,360,0,0,120? 17.548' E,22? 35.166' N,511,30,102,@@@@@@@@@@@@@@@@@@@@,Spare - for local use
629009312,Gambia (Republic of the),20/02/2025 16:04:04,XIN YUAN,22.5818,120.2957,288,0,9126106,120? 17.740' E,22? 34.910' N,232,15,85,KOHSIUNG            ,Cargo-all ships of this type
416003885,Taiwan (Province of China),20/02/2025 16:04:04,SHING FU,22.6183,120.2699,165.2,5.3,0,120? 16.197' E,22? 37.095' N,166,0,0,@@@@@@@@@@@@@@@@@@@@,Passenger-all ships of this type
457601000,Mongolia,20/02/2025 16:04:05,MACRO,22.5999,120.2816,205.4,0,0,120? 16.894' E,22? 35.993' N,511,2,2,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
457556000,Mongolia,20/02/2025 16:04:05,EVER  DELIGHT,91,181,360,102.3,8358661,Not available (default),Not available (default),511,16,96,KAOHSIUNG           ,Cargo-all ships of this type
416004115,Taiwan (Province of China),20/02/2025 16:04:05,DAH LIN NO.9,22.5389,120.336,360,0.1,0,120? 20.158' E,22? 32.336' N,511,12,36,KAOHSIUNG PORT@@@@@@,Vessel-Towing
416000017,Taiwan (Province of China),20/02/2025 16:04:05,YU TAI NO.403,22.5949,120.2882,58.9,0.8,0,120? 17.291' E,22? 35.695' N,511,11,30,@@@@@@@@@@@@@@@@@@@@,Tug
416012541,Taiwan (Province of China),20/02/2025 16:04:05,KMSC NO.901,22.5948,120.2874,152.3,8.3,0,120? 17.243' E,22? 35.690' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Port tender
416005437,Taiwan (Province of China),20/02/2025 16:04:05,SOLARIS 2,22.582,120.2939,360,0,0,120? 17.632' E,22? 34.922' N,511,8,20,HYDRO SURVEY@@@@@@@@,Vessel-Engaged in dredging or underwater operations
510069000,Micronesia (Federated States of),20/02/2025 16:04:05,QUEEN ISABELLA 88,22.6135,120.2719,238.2,0,0,120? 16.315' E,22? 36.807' N,302,30,15,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416004658,Taiwan (Province of China),20/02/2025 16:04:05,LONG DER NO.688,22.5909,120.2889,3.2,0,,120? 17.337' E,22? 35.455' N,,10,35,,
677011100,Tanzania (United Republic of),20/02/2025 16:04:05,HAI FA,22.582,120.2955,274.1,0,9072991,120? 17.727' E,22? 34.922' N,511,12,74,KAOXIONG            ,Cargo-all ships of this type
416004047,Taiwan (Province of China),20/02/2025 16:04:05,TA YING,22.5991,120.2884,104.2,0,0,120? 17.302' E,22? 35.948' N,511,0,0,KAOHSIUNG@@@@@@@@@@@,Cargo-all ships of this type
416006146,Taiwan (Province of China),20/02/2025 16:04:06,HUNG YI NO.2,22.546,120.3057,48.1,0,0,120? 18.341' E,22? 32.760' N,511,12,32,@@@@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
538010853,Marshall Islands (Republic of the),20/02/2025 16:04:06,FAIRCHEM PATHFINDER,22.5857,120.295,145.8,3.3,9975301,120? 17.702' E,22? 35.143' N,141,27,158,TW KHH              ,Tanker-all ships of this type
306045000,Netherlands Antilles,20/02/2025 16:04:06,GUANYANG,22.611,120.2739,168.3,0,9110250,120? 16.436' E,22? 36.659' N,0,9,53,KHH                 ,Cargo-all ships of this type
667001736,Sierra Leone,20/02/2025 16:04:07,HUA HANG,22.6138,120.287,0,0,8864282,120? 17.221' E,22? 36.830' N,511,12,71,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416015927,Taiwan (Province of China),20/02/2025 16:04:07,KAO 506,22.6138,120.2881,183.4,0,0,120? 17.286' E,22? 36.828' N,511,15,40,KHH@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
416003923,Taiwan (Province of China),20/02/2025 16:04:07,KAO NO.112,22.5942,120.2886,234.4,1.1,0,120? 17.315' E,22? 35.654' N,511,14,89,KOH                 ,Tug
416459000,Taiwan (Province of China),20/02/2025 16:04:08,UNI PROSPER,22.5418,120.3016,292,5.2,,120? 18.096' E,22? 32.506' N,294,,,,
416005693,Taiwan (Province of China),20/02/2025 16:04:08,RIKULAU,22.5796,120.2977,276,0,9838149,120? 17.859' E,22? 34.777' N,235,14,50,KAO                 ,HSC-all ships of this type
416003885,Taiwan (Province of China),20/02/2025 16:04:08,SHING FU,22.6182,120.27,165.2,5.2,0,120? 16.198' E,22? 37.089' N,168,0,0,@@@@@@@@@@@@@@@@@@@@,Passenger-all ships of this type
563245300,Singapore (Republic of),20/02/2025 16:04:09,EVER MOST,22.5468,120.2806,267.3,8.7,,120? 16.838' E,22? 32.808' N,267,,,,
538004383,Marshall Islands (Republic of the),20/02/2025 16:04:09,FEDERAL SUTTON,22.5617,120.3292,239.9,0.1,9595917,120? 19.754' E,22? 33.704' N,142,28,189,KRMOK               ,Cargo-all ships of this type
416008845,Taiwan (Province of China),20/02/2025 16:04:09,TRITON1,22.594,120.2861,168.1,0,9495894,120? 17.167' E,22? 35.639' N,511,10,34,@@@@@@@@@@@@@@@@@@@@,Port tender
511101274,Palau (Republic of),20/02/2025 16:04:09,HONG LI,22.6034,120.2822,57.5,0,9036894,120? 16.929' E,22? 36.203' N,511,13,74,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
667001467,Sierra Leone,20/02/2025 16:04:10,VINCENT 2,22.6023,120.2829,326,0.1,9121039,120? 16.974' E,22? 36.135' N,141,17,107,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416005693,Taiwan (Province of China),20/02/2025 16:04:10,RIKULAU,22.5796,120.2977,276,0,9838149,120? 17.859' E,22? 34.777' N,235,14,50,KAO                 ,HSC-all ships of this type
416004697,Taiwan (Province of China),20/02/2025 16:04:10,KAO 505,22.6102,120.2726,133.8,0,967097500,120? 16.356' E,22? 36.613' N,145,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
416000018,Taiwan (Province of China),20/02/2025 16:04:10,FORMOSA NO.8,22.5997,120.2826,360,0,0,120? 16.958' E,22? 35.979' N,511,11,28,TW_KHH              ,Tug
416000095,Taiwan (Province of China),20/02/2025 16:04:10,YIN LIAN,22.5964,120.2899,154.6,0,0,120? 17.392' E,22? 35.783' N,356,11,76,LONG MEN - KAOHSIUNG,Cargo-all ships of this type
544113120,Nauru (Republic of),20/02/2025 16:04:10,EASTERN STAR,22.597,120.2855,237.3,0,8996097,120? 17.130' E,22? 35.822' N,511,14,89,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416247700,Taiwan (Province of China),20/02/2025 16:04:11,HAI YAO,22.5927,120.2874,360,0,0,120? 17.246' E,22? 35.562' N,511,7,35,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
352029885,Panama (Republic of),20/02/2025 16:04:11,EVER CLEVER,22.5211,120.2796,67.9,0.3,,120? 16.778' E,22? 31.264' N,326,,,,
416006752,Taiwan (Province of China),20/02/2025 16:04:11,TA YU,22.5946,120.2911,316.7,0,0,120? 17.464' E,22? 35.677' N,339,13,60,KINMEN              ,Cargo-all ships of this type
416004191,Taiwan (Province of China),20/02/2025 16:04:11,SEAGREEN NO15,22.5959,120.2843,360,0,9406295,120? 17.057' E,22? 35.751' N,511,40,55,TW KHH 1508W        ,Vessel-Towing
416005003,Taiwan (Province of China),20/02/2025 16:04:12,HUNG YU NO.1,22.5468,120.3121,334.6,0,0,120? 18.725' E,22? 32.806' N,511,33,80,@@@@@@@@@@@@@@@@@@@@,Other type of ship-all ships of this type
416006501,Taiwan (Province of China),20/02/2025 16:04:12,SEA GREEN NO 16,22.5398,120.3355,360,0.2,0,120? 20.129' E,22? 32.386' N,511,20,40,@@@@@@@@@@@@@@@@@@@@,Other type of ship-all ships of this type
416011751,Taiwan (Province of China),20/02/2025 16:04:12,SHENG YI FA168,22.5925,120.2871,273.1,0,0,120? 17.226' E,22? 35.550' N,511,8,37,KHH                 ,Vessel=Fishing
416008937,Taiwan (Province of China),20/02/2025 16:04:12,TIPM NO.15003,22.5859,120.2947,148.4,3.2,0,120? 17.683' E,22? 35.154' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Tug
416006765,Taiwan (Province of China),20/02/2025 16:04:12,VENTUS XINGANG,22.5996,120.2816,360,0,990981900,120? 16.896' E,22? 35.976' N,235,0,0,KHH                 ,Vessel-Pleasure craft
416008938,Taiwan (Province of China),20/02/2025 16:04:12,TIMP NO.15005,22.585,120.2955,140.2,3.2,0,120? 17.730' E,22? 35.099' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Tug
416007289,Taiwan (Province of China),20/02/2025 16:04:13,YUAN MAN JIN,22.5535,120.3383,271.7,0,0,120? 20.296' E,22? 33.211' N,271,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416006768,Taiwan (Province of China),20/02/2025 16:04:13,DONG PING NO.9,22.5972,120.2994,189.2,0,0,120? 17.962' E,22? 35.834' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416000021,Taiwan (Province of China),20/02/2025 16:04:13,YU MING NO:288,22.5853,120.3028,360,0,0,120? 18.166' E,22? 35.120' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel-Pleasure craft
416002974,Taiwan (Province of China),20/02/2025 16:04:13,DONG LIAN NO.8,22.5963,120.2998,349.1,0,0,120? 17.990' E,22? 35.775' N,511,2,14,@@@@@@@@@@@@@@@@@@@@,Tug
416126600,Taiwan (Province of China),20/02/2025 16:04:13,YU DING N0 303,22.5857,120.3038,360,0,0,120? 18.230' E,22? 35.144' N,511,9,35,@@@@@@@@@@@@@@@@@@@@,Tug
576638000,Vanuatu (Republic of),20/02/2025 16:04:13,LONGBOW NO.7,22.6031,120.2862,13.7,0,8956683,120? 17.172' E,22? 36.183' N,511,9,46,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416004261,Taiwan (Province of China),20/02/2025 16:04:13,YU CHIN NO.302,22.5855,120.3031,0,0,0,120? 18.186' E,22? 35.132' N,511,9,29,@@@@@@@@@@@@@@@@@@@@,Vessel-Towing
457556000,Mongolia,20/02/2025 16:04:14,EVER  DELIGHT,91,181,360,102.3,8358661,Not available (default),Not available (default),511,16,96,KAOHSIUNG           ,Cargo-all ships of this type
416005691,Taiwan (Province of China),20/02/2025 16:04:14,SEN KOH NO.8,22.5861,120.2925,360,0,0,120? 17.548' E,22? 35.166' N,511,30,102,@@@@@@@@@@@@@@@@@@@@,Spare - for local use
416000017,Taiwan (Province of China),20/02/2025 16:04:15,YU TAI NO.403,22.5949,120.2882,60.6,0.4,0,120? 17.293' E,22? 35.696' N,511,11,30,@@@@@@@@@@@@@@@@@@@@,Tug
306045000,Netherlands Antilles,20/02/2025 16:04:15,GUANYANG,22.611,120.2739,168.3,0,9110250,120? 16.437' E,22? 36.659' N,0,9,53,KHH                 ,Cargo-all ships of this type
416004047,Taiwan (Province of China),20/02/2025 16:04:15,TA YING,22.5991,120.2884,104.2,0,0,120? 17.303' E,22? 35.948' N,511,0,0,KAOHSIUNG@@@@@@@@@@@,Cargo-all ships of this type
457601000,Mongolia,20/02/2025 16:04:15,MACRO,22.5999,120.2816,205.4,0,0,120? 16.894' E,22? 35.993' N,511,2,2,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416012541,Taiwan (Province of China),20/02/2025 16:04:15,KMSC NO.901,22.5945,120.2876,139.1,7.4,0,120? 17.256' E,22? 35.671' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Port tender
510069000,Micronesia (Federated States of),20/02/2025 16:04:15,QUEEN ISABELLA 88,22.6135,120.2719,175.9,0,0,120? 16.315' E,22? 36.807' N,302,30,15,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
677011100,Tanzania (United Republic of),20/02/2025 16:04:15,HAI FA,22.582,120.2954,273.6,0,9072991,120? 17.726' E,22? 34.922' N,511,12,74,KAOXIONG            ,Cargo-all ships of this type
416005437,Taiwan (Province of China),20/02/2025 16:04:16,SOLARIS 2,22.582,120.2939,360,0,0,120? 17.632' E,22? 34.922' N,511,8,20,HYDRO SURVEY@@@@@@@@,Vessel-Engaged in dredging or underwater operations
416001323,Taiwan (Province of China),20/02/2025 16:04:17,@@@I*ELCOBR@@C?) BB,22.6126,120.2709,200.1,0,,120? 16.254' E,22? 36.753' N,,0,0,,
416015927,Taiwan (Province of China),20/02/2025 16:04:17,KAO 506,22.6138,120.2881,183.4,0,0,120? 17.286' E,22? 36.828' N,511,15,40,KHH@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
416001323,Taiwan (Province of China),20/02/2025 16:04:17,@@@I*ELCOBR@@C?) BB,22.6126,120.2709,200.1,0,,120? 16.254' E,22? 36.753' N,,0,0,,
416001323,Taiwan (Province of China),20/02/2025 16:04:17,@@@I*ELCOBR@@C?) BB,22.6126,120.2709,200.1,0,,120? 16.254' E,22? 36.753' N,,0,0,,
416001323,Taiwan (Province of China),20/02/2025 16:04:17,@@@I*ELCOBR@@C?) BB,22.6126,120.2709,200.1,0,,120? 16.254' E,22? 36.753' N,,0,0,,
416001323,Taiwan (Province of China),20/02/2025 16:04:17,@@@I*ELCOBR@@C?) BB,22.6126,120.2709,200.1,0,,120? 16.254' E,22? 36.753' N,,0,0,,
416001323,Taiwan (Province of China),20/02/2025 16:04:17,@@@I*ELCOBR@@C?) BB,22.6126,120.2709,200.1,0,,120? 16.254' E,22? 36.753' N,,0,0,,
416459000,Taiwan (Province of China),20/02/2025 16:04:17,UNI PROSPER,22.5419,120.3014,292,5.3,,120? 18.082' E,22? 32.511' N,293,,,,
416003923,Taiwan (Province of China),20/02/2025 16:04:17,KAO NO.112,22.5942,120.2885,229.6,1.2,0,120? 17.312' E,22? 35.652' N,511,14,89,KOH                 ,Tug
667001736,Sierra Leone,20/02/2025 16:04:17,HUA HANG,22.6138,120.287,0,0,8864282,120? 17.221' E,22? 36.830' N,511,12,71,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416001900,Taiwan (Province of China),20/02/2025 16:04:17,YUAN TAI NO.806,22.5666,120.3133,233.8,0,790066300,120? 18.801' E,22? 33.998' N,511,0,0,SINGAPORE@@@@@@@@@@@,Cargo-all ships of this type
416005452,Taiwan (Province of China),20/02/2025 16:04:18,CHUNG YU NO.22,22.5845,120.3008,40,0,9814571,120? 18.050' E,22? 35.072' N,50,16,75,KAOSHIUNG           ,Tanker-all ships of this type
416003885,Taiwan (Province of China),20/02/2025 16:04:19,SHING FU,22.6179,120.2701,159.1,5.3,0,120? 16.203' E,22? 37.075' N,162,0,0,@@@@@@@@@@@@@@@@@@@@,Passenger-all ships of this type
306406000,Netherlands Antilles,20/02/2025 16:04:19,XING YUN 101,22.5949,120.2833,125.6,0,0,120? 16.998' E,22? 35.696' N,225,8,29,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
353641000,Panama (Republic of),20/02/2025 16:04:19,DAEWOO DIAMOND,22.5752,120.2507,166,0,9478121,120? 15.043' E,22? 34.511' N,3,18,114,TW KHH              ,Tanker-all ships of this type
416001900,Taiwan (Province of China),20/02/2025 16:04:19,YUAN TAI NO.806,22.5666,120.3134,360,0,790066300,120? 18.802' E,22? 33.998' N,511,0,0,SINGAPORE@@@@@@@@@@@,Cargo-all ships of this type
563245300,Singapore (Republic of),20/02/2025 16:04:19,EVER MOST,22.5468,120.2802,267.1,8.8,,120? 16.812' E,22? 32.807' N,267,,,,
416005048,Taiwan (Province of China),20/02/2025 16:04:19,TIPM NO.13402,22.5469,120.3005,35.6,8.6,0,120? 18.033' E,22? 32.812' N,511,10,35,@@@@@@@@@@@@@@@@@@@@,Tug
416000095,Taiwan (Province of China),20/02/2025 16:04:20,YIN LIAN,22.5964,120.2899,154.6,0,0,120? 17.391' E,22? 35.783' N,356,11,76,LONG MEN - KAOHSIUNG,Cargo-all ships of this type
667001467,Sierra Leone,20/02/2025 16:04:20,VINCENT 2,22.6023,120.2829,339.3,0,9121039,120? 16.974' E,22? 36.136' N,141,17,107,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416008845,Taiwan (Province of China),20/02/2025 16:04:20,TRITON1,22.594,120.2861,168.1,0,9495894,120? 17.167' E,22? 35.639' N,511,10,34,@@@@@@@@@@@@@@@@@@@@,Port tender
416006752,Taiwan (Province of China),20/02/2025 16:04:20,TA YU,22.5946,120.2911,316.7,0,0,120? 17.464' E,22? 35.677' N,339,13,60,KINMEN              ,Cargo-all ships of this type
677040400,Tanzania (United Republic of),20/02/2025 16:04:20,HUNG CHENG,22.6139,120.2835,293.3,0,8864335,120? 17.010' E,22? 36.831' N,511,10,58,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416247700,Taiwan (Province of China),20/02/2025 16:04:20,HAI YAO,22.5927,120.2874,360,0,0,120? 17.246' E,22? 35.562' N,511,7,35,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
544113120,Nauru (Republic of),20/02/2025 16:04:21,EASTERN STAR,22.597,120.2855,237.3,0,8996097,120? 17.130' E,22? 35.822' N,511,14,89,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
511101274,Palau (Republic of),20/02/2025 16:04:21,HONG LI,22.6034,120.2822,53.5,0.1,9036894,120? 16.930' E,22? 36.203' N,511,13,74,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416004697,Taiwan (Province of China),20/02/2025 16:04:21,KAO 505,22.6102,120.2726,157.3,0,967097500,120? 16.355' E,22? 36.613' N,145,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
416000018,Taiwan (Province of China),20/02/2025 16:04:21,FORMOSA NO.8,22.5997,120.2826,360,0,0,120? 16.958' E,22? 35.980' N,511,11,28,TW_KHH              ,Tug
416005003,Taiwan (Province of China),20/02/2025 16:04:21,HUNG YU NO.1,22.5468,120.3121,334.6,0,0,120? 18.725' E,22? 32.806' N,511,33,80,@@@@@@@@@@@@@@@@@@@@,Other type of ship-all ships of this type
416008938,Taiwan (Province of China),20/02/2025 16:04:21,TIMP NO.15005,22.5849,120.2956,138.4,3.1,0,120? 17.735' E,22? 35.094' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Tug
416004191,Taiwan (Province of China),20/02/2025 16:04:22,SEAGREEN NO15,22.5959,120.2843,360,0,9406295,120? 17.057' E,22? 35.751' N,511,40,55,TW KHH 1508W        ,Vessel-Towing
576638000,Vanuatu (Republic of),20/02/2025 16:04:22,LONGBOW NO.7,22.6031,120.2862,13.7,0,8956683,120? 17.172' E,22? 36.183' N,511,9,46,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
576638000,Vanuatu (Republic of),20/02/2025 16:04:22,LONGBOW NO.7,22.6031,120.2862,13.7,0,8956683,120? 17.172' E,22? 36.183' N,511,9,46,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416011751,Taiwan (Province of China),20/02/2025 16:04:22,SHENG YI FA168,22.5925,120.2871,273.1,0,0,120? 17.226' E,22? 35.550' N,511,8,37,KHH                 ,Vessel=Fishing
416126600,Taiwan (Province of China),20/02/2025 16:04:22,YU DING N0 303,22.5857,120.3039,360,0,0,120? 18.232' E,22? 35.143' N,511,9,35,@@@@@@@@@@@@@@@@@@@@,Tug
416008937,Taiwan (Province of China),20/02/2025 16:04:22,TIPM NO.15003,22.5858,120.2948,145.8,3.2,0,120? 17.689' E,22? 35.146' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Tug
416002974,Taiwan (Province of China),20/02/2025 16:04:23,DONG LIAN NO.8,22.5963,120.2998,349.1,0,0,120? 17.990' E,22? 35.776' N,511,2,14,@@@@@@@@@@@@@@@@@@@@,Tug
