MMSI,MID,Received_Time,Vessel_Name,Latitude,Longitude,Course_Over_Ground_COG,Speed_Over_Ground_SOG,IMO_Number,Longitude_Second,Latitude_Second,_True_Heading_HDG,_Beam ,Destination,Destination,Ship_Type
416004658,Taiwan (Province of China),20/02/2025 16:00:09,LONG DER NO.688,22.591,120.2891,3.2,0,,120? 17.344' E,22? 35.463' N,,10,35,,
416008845,Taiwan (Province of China),20/02/2025 16:00:09,TRITON1,22.594,120.2861,168.1,0,9495894,120? 17.166' E,22? 35.640' N,511,10,34,@@@@@@@@@@@@@@@@@@@@,Port tender
416004524,Taiwan (Province of China),20/02/2025 16:00:09,YU JING 245,22.6176,120.2794,360,0,0,120? 16.761' E,22? 37.054' N,511,9,54,@@@@@@@@@@@@@@@@@@@@,Tug
511101274,Palau (Republic of),20/02/2025 16:00:10,HONG LI,22.6034,120.2821,273.2,0.1,9036894,120? 16.925' E,22? 36.202' N,511,13,74,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
667001467,Sierra Leone,20/02/2025 16:00:10,VINCENT 2,22.6022,120.2829,295.1,0,9121039,120? 16.973' E,22? 36.135' N,141,17,107,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
306406000,Netherlands Antilles,20/02/2025 16:00:10,XING YUN 101,22.595,120.2833,125.6,0,0,120? 16.997' E,22? 35.697' N,225,8,29,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
544113120,Nauru (Republic of),20/02/2025 16:00:10,EASTERN STAR,22.597,120.2855,237.3,0,8996097,120? 17.129' E,22? 35.820' N,511,14,89,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416000018,Taiwan (Province of China),20/02/2025 16:00:10,FORMOSA NO.8,22.5996,120.2827,360,0,0,120? 16.959' E,22? 35.978' N,511,11,28,TW_KHH              ,Tug
416000095,Taiwan (Province of China),20/02/2025 16:00:10,YIN LIAN,22.5964,120.2898,154.6,0,0,120? 17.390' E,22? 35.782' N,356,11,76,LONG MEN - KAOHSIUNG,Cargo-all ships of this type
563245300,Singapore (Republic of),20/02/2025 16:00:11,EVER MOST,22.5466,120.2899,284.8,7.2,,120? 17.392' E,22? 32.794' N,282,,,,
416004697,Taiwan (Province of China),20/02/2025 16:00:11,KAO 505,22.6102,120.2726,123.2,0,967097500,120? 16.356' E,22? 36.613' N,145,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
416006752,Taiwan (Province of China),20/02/2025 16:00:11,TA YU,22.5946,120.2911,316.7,0,0,120? 17.463' E,22? 35.676' N,339,13,60,KINMEN              ,Cargo-all ships of this type
416247700,Taiwan (Province of China),20/02/2025 16:00:11,HAI YAO,22.5927,120.2874,360,0,0,120? 17.246' E,22? 35.561' N,511,7,35,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416459000,Taiwan (Province of China),20/02/2025 16:00:11,UNI PROSPER,22.5402,120.307,250,4.7,,120? 18.422' E,22? 32.411' N,278,,,,
416004191,Taiwan (Province of China),20/02/2025 16:00:12,SEAGREEN NO15,22.5959,120.2843,360,0,9406295,120? 17.058' E,22? 35.751' N,511,40,55,TW KHH 1508W        ,Vessel-Towing
416006765,Taiwan (Province of China),20/02/2025 16:00:12,VENTUS XINGANG,22.5996,120.2816,360,0,990981900,120? 16.897' E,22? 35.976' N,235,0,0,KHH                 ,Vessel-Pleasure craft
416011751,Taiwan (Province of China),20/02/2025 16:00:12,SHENG YI FA168,22.5925,120.2871,273.1,0,0,120? 17.226' E,22? 35.550' N,511,8,37,KHH                 ,Vessel=Fishing
416007289,Taiwan (Province of China),20/02/2025 16:00:13,YUAN MAN JIN,22.5535,120.3383,271.7,0,0,120? 20.296' E,22? 33.212' N,271,0,0,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
677054600,Tanzania (United Republic of),20/02/2025 16:00:13,CHENG TAI,22.5819,120.2958,251,0,8854122,120? 17.750' E,22? 34.914' N,511,12,63,NINGBO@@@@@@@@@@@@@@,Cargo-all ships of this type
416002974,Taiwan (Province of China),20/02/2025 16:00:13,DONG LIAN NO.8,22.5963,120.2998,349.1,0,0,120? 17.990' E,22? 35.776' N,511,2,14,@@@@@@@@@@@@@@@@@@@@,Tug
416008938,Taiwan (Province of China),20/02/2025 16:00:13,TIMP NO.15005,22.5874,120.2932,355.2,3.7,0,120? 17.593' E,22? 35.244' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Tug
416008937,Taiwan (Province of China),20/02/2025 16:00:13,TIPM NO.15003,22.5896,120.2923,147.8,4.4,0,120? 17.539' E,22? 35.373' N,511,0,0,@@@@@@@@@@@@@@@@@@@@,Tug
576638000,Vanuatu (Republic of),20/02/2025 16:00:13,LONGBOW NO.7,22.603,120.2862,13.7,0,8956683,120? 17.173' E,22? 36.183' N,511,9,46,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
416000017,Taiwan (Province of China),20/02/2025 16:00:13,YU TAI NO.403,22.597,120.2876,166.5,8.4,0,120? 17.256' E,22? 35.820' N,511,11,30,@@@@@@@@@@@@@@@@@@@@,Tug
416004261,Taiwan (Province of China),20/02/2025 16:00:14,YU CHIN NO.302,22.5855,120.3031,0,0,0,120? 18.185' E,22? 35.133' N,511,9,29,@@@@@@@@@@@@@@@@@@@@,Vessel-Towing
